	USD
715	31.7756
716	31.8226
717	31.8157
718	31.8203
719	31.8225
720	31.8231
721	31.8224
722	31.823
723	31.8248
724	31.8222
725	31.8416
726	31.8382
727	31.84
728	31.84
729	31.8424
730	31.8547
731	31.8584
732	31.8596
733	31.8578
734	31.86
735	31.8597
736	31.8583
737	31.86
738	31.86
739	31.8527
740	31.8588
741	31.8574
742	31.8542
743	31.845
744	31.7966
745	31.7919
746	31.7919
747	31.791
748	31.7844
749	31.7844
750	31.7844
751	31.7844
752	31.7844
753	31.8846
754	31.882
755	31.8327
756	31.8253
757	31.835
758	31.8139
759	31.8071
760	31.8224
761	31.8224
762	31.8003
763	31.8095
764	31.811
765	31.8015
766	31.8001
767	31.8001
768	31.8
769	31.8222
770	31.8345
771	31.8517
772	31.8354
773	31.8351
774	31.835
775	31.8352
776	31.8214
777	31.784
778	31.7101
779	31.6554
780	31.6406
781	31.6406
782	31.5503
783	31.581
784	31.5501
785	31.55
786	31.5875
787	31.6065
788	31.5762
789	31.5729
790	31.5956
791	31.5809
792	31.592
793	31.5891
794	31.5619
795	31.5076
796	31.4407
797	31.3818
798	31.382
799	31.3872
800	31.4077
801	31.3976
802	31.384
803	31.3811
804	31.3803
805	31.38
806	31.3829
807	31.38
808	31.3805
809	31.3801
810	31.3175
811	31.286
812	31.2908
813	31.2818
814	31.2798
815	31.2814
816	31.2821
817	31.2829
818	31.2849
819	31.2345
820	31.189
821	31.1905
822	31.1831
823	31.1899
824	31.1022
825	31.1025
826	31.1003
827	31.1
828	31.1
829	31.1
830	31.1
831	31.1021
832	31.1105
833	31.1184
834	31.1009
835	31.1001
836	31.0076
837	30.9801
838	30.9811
839	30.98
840	30.8902
841	30.89
842	30.89
843	30.8902
844	30.8316
845	30.8316
846	30.72
847	30.72
848	30.6186
849	30.6691
850	30.709
851	30.64
852	30.7427
853	30.7599
854	30.6478
855	30.5658
856	30.4613
857	30.5589
858	30.5123
859	30.4612
860	30.3805
861	30.38
862	30.3807
863	30.3807
864	30.3205
865	30.3546
866	30.3511
867	30.318
868	30.3396
869	30.3483
870	30.3809
871	30.3267
872	30.28
873	30.28
874	30.2906
875	30.3014
876	30.3574
877	30.4178
878	30.3642
879	30.3808
880	30.4955
881	30.5349
882	30.5175
883	30.4891
884	30.4316
885	30.3647
886	30.2976
887	30.3469
888	30.3557
889	30.322
890	30.2467
891	30.245
892	30.2596
893	30.2791
894	30.3031
895	30.332
896	30.2813
897	30.2979
898	30.3359
899	30.3977
900	30.3764
901	30.3524
902	30.3832
903	30.3287
904	30.3532
905	30.3246
906	30.3258
907	30.311
908	30.3251
909	30.31
910	30.3014
911	30.361
912	30.3916
913	30.5036
914	30.5036
915	30.5458
916	30.5547
917	30.604
918	30.6396
919	30.6844
920	30.7013
921	30.6407
922	30.6307
923	30.6565
924	30.659
925	30.7007
926	30.7007
927	30.68
928	30.5877
929	30.56
930	30.4909
931	30.4998
932	30.451
933	30.4721
934	30.4998
935	30.6119
936	30.6142
937	30.5693
